,oscillator,ID,jacobian
145,True,4512134295247597703,"[-682.56361032   47.04048961  -71.92586067  517.83001585  -72.94103564
  105.72618703 -612.10188166    0.          -14.73758462]"
146,True,5545586085491362919,"[-479.95502048  175.03159552  -15.73363909  218.35170151  -35.59565505
    0.            0.           35.59565505  -13.33339635]"
147,True,2061777244889876593,"[-1499.41782927    -7.93703338   -39.58536453   558.77625369
    21.3916905    -29.93263333    32.64110401     6.5282208
    -7.86685528]"
148,True,2560070391829970844,"[-328.42657582   22.74613435  -38.70936907  155.88170589  -47.87781574
   38.70936907 -453.51771869    1.57257427  -18.2539172 ]"
149,True,2758837741879663868,"[  16.49296607    0.           -2.84600657    0.         -423.64475259
 -223.45441269   25.61405912    0.           -9.05777663]"
150,True,743297937922415444,"[  78.61526629   33.34189124   11.02146611   17.31720029  -37.45747698
    0.           81.97723919 -160.83883466 -123.47252021]"
151,True,7881507628336754430,"[-154.69628716    0.           14.86685163  213.98902877  -56.8582993
   23.77655875 -194.23162316   56.8582993   -62.41996914]"
152,True,7732367595435895825,"[ -53.1705538     0.          584.03766505    2.99109294   -9.52601293
    0.           98.38935894 -134.85179271 -664.24755707]"
153,True,2313280834318575830,"[-513.93580441  601.39433082  -20.63894496   50.84967081  -51.74819806
    0.            0.          103.49639612  -12.58255323]"
154,True,2159268918257916838,"[ -52.57833909  397.92974476  267.72764115    0.         -503.34130966
 -313.75669484   -8.49256556 -378.27616516 -332.08751329]"
155,True,6909470322589498857,"[ 1.64212786e+02  1.34103385e+03 -2.67543244e+00 -8.64807755e+01
 -2.88272943e+03  4.10652480e+00  4.82351801e+00  2.47893174e+01
 -2.86218472e+00]"
156,True,245619143074396315,"[-94.45716298   0.46111931  51.75293519 -43.57324793   8.85596907
  -7.92453356  69.01520546  13.80304109 -43.82840164]"
157,True,4818784819115454450,"[-49.31130073 -19.21158247  48.76004177 -27.4430666   -5.48861332
   4.99582694  61.00560887   5.48861332 -29.37584783]"
158,True,3998812434051371765,"[ -30.79988091  598.6666639   526.70794282    0.         -264.1129899
 -165.12169068   15.39994045 -297.21904322 -558.62616621]"
159,True,2717063459579685803,"[ -40.3537895   317.8880035     0.          154.37435859 -553.65787766
 -120.62601867    5.79559516    0.          -10.35724475]"
160,True,4877149434718649747,"[-106.86610116  397.0339385   173.60504524   89.45037445 -486.33603383
 -170.96213509   17.41572671 -307.73184317 -106.09041233]"
161,True,7035396368519755610,"[-609.88636554    4.43517099  -61.56976096 1054.62305611   -8.87034197
  123.37573033 -966.50669604   29.59171707  -80.49619697]"
162,True,1883638949009515588,"[  375.60990035    54.12314041   580.02339826     0.
   -76.94471231   447.27028217  -361.62797782   -46.28626435
 -1065.68692279]"
163,True,3069759340644067674,"[ -40.96275994  301.72023357  167.62235198   30.15866968 -301.72023357
 -164.35748259   10.80409026 -125.93636228  -39.42869667]"
164,True,2103168280458885691,"[-348.57972454   50.7585929    -7.36848363  325.20952665  -70.68685379
   -3.13608248 -300.29213892   70.68685379  -25.62982574]"
165,True,7435198452858500883,"[-237.71292144  -21.19552013    0.          237.71292144   29.61420959
   -9.96020816 -293.32948143   17.9283747   -22.63195644]"
166,True,903898021830940471,"[ 25.62171353 -18.37049267  63.84001974 -27.97169485 -18.37049267
  89.71564814 -57.56209776  18.37049267 -50.79616604]"
167,True,8362557952992077577,"[ -19.02645077 1709.10123742  942.91555246    9.17757274 -830.15249857
 -471.45777623    4.92443901 -848.62399722 -471.45777623]"
168,True,4336962927674716607,"[-16.16188189   0.          29.14246624 -62.82834838 -79.72541047
 266.55039131   0.          60.69498803 -46.94543756]"
169,True,3605969226993990940,"[  -13.24122021    11.90628473     0.             0.
   -91.31660879  1656.53302202  -196.68253407   170.72693285
 -1679.85788361]"
170,True,882045398620800089,"[ -49.99907733  245.52914132  136.40507851   49.99907733 -301.80963377
 -122.40093855    0.         -189.24864888  -85.4072427 ]"
171,True,4164685844760644810,"[-120.23117191   20.12828538  -12.36881483    0.          -21.00654468
   44.79649146 -373.84478091   21.00654468   14.6661857 ]"
172,True,2711341353015926424,"[  78.10939573    8.77759913   12.91633227    6.85908566   -7.51665047
    0.           24.14742786    0.         -541.13244712]"
173,True,880276991562522767,"[-932.04959518   32.17765818  -85.21505599  280.40344061  -77.61561149
   24.17345331 -246.52105119   57.92709575  -26.76504114]"
174,True,6901582305320603916,"[-111.44255798  -42.67751227   14.50682053 -122.92101646 -372.19218576
   36.91657668   49.59239449   53.06881092  -15.28236063]"
175,True,8196783561093161085,"[-146.01144993  -24.55201433   74.00112534    0.           -8.92479918
   11.07764274   46.50275652    8.92479918  -85.07876808]"
176,True,5987953633765492754,"[-163.77042095   63.1265958     4.03190603  223.09806103 -104.14212973
  -36.55704576    4.30026714    0.           -6.67995325]"
177,True,3472442999122377202,"[-11.53949229   7.12728948   0.          11.53949229 -98.90348344
  76.07288762 -98.72280153 183.55238792 -88.3242536 ]"
178,True,4489749435350097024,"[ -61.71382923  633.41248193    0.          123.42765845 -798.10694008
  -78.78613275   15.65300338    0.          -12.71078845]"
179,True,2433676053462603996,"[  -78.86098128   330.09475881     3.52106318   445.2395221
 -1333.58348464  -332.5900127   -334.62443773   670.31050511
   367.12491667]"
180,True,6251112762965693789,"[-420.18771775  197.7380232   -35.18797625  147.70258872  -98.8690116
   55.34722384  -64.49896378    0.           41.29703692]"
181,True,6854626897491456304,"[ -60.88722642   -2.15340039   17.92084546 -130.45843832   89.90668437
    0.          145.49761547   26.09168766  -17.92084546]"
182,True,7555579647745022045,"[-724.69954616   11.55938141  -79.83014078  658.65721591  -23.52219163
   97.67362495 -712.24298784    0.          -55.86192899]"
183,True,3460042938666766166,"[-165.41215652  -11.48258727   30.92674472 -205.90835666  -37.09735375
    3.55404704   57.41293635   11.48258727  -21.1451252 ]"
184,True,6233278413417005015,"[ -35.3596865   319.81979348  160.29386525    6.03982989  -68.54469855
    0.         -178.15407034 -214.02123242 -160.81813211]"
185,True,6408264196393971939,"[-122.97951922  -14.26796614   42.45293635   -5.61333562   17.24303656
   -8.81980002   83.85745802   19.27501706  -42.45293635]"
186,True,5224576018005081130,"[-117.1124636   -11.73486528   35.26085793  -90.89349614   48.85007029
    0.            0.           44.25533312  -17.63042897]"
187,True,3330649615344341515,"[  26.72425228  299.33831071   30.72224391  -63.40232485 -298.28558283
  -22.60990725 -399.35229773   48.52280467   85.60226505]"
